Topics,Replies,Views,Time
"Can't Figure Out BI Status
1811Probe, 11 months ago",3,763,2021
"Clearance --- state of confusionstatus unknown
missiongo, 11 months ago",1,658,2021
"Providing healthcare to foreigners and clearance
Anonymous33, 11 months ago",3,427,2021
"NEED ADVICE URGENT - Mistake made on OF 306
Tina, 11 months ago",1,781,2021
"Requirements for BI
newgirl2, 12 months ago",5,869,2021
"FSO never advised us of self reporting guidelines
heynow1234, 12 months ago",5,1027,2021
"Lost in the Process
newgirl2, 12 months ago",6,869,2021
"Debt that is being repaid through a payment planDelinquent or not?
soca2020, 2021",11,1435,2021
"Clearance transfer from DoD contractor to DoD Civilian
heynow1234, 2021",1,570,2021
"My wife just became a US citizen
USeagle, 2021",8,871,2021
"MRPT with sf86 timeline
Mmmoo, 2021",12,1698,2021
"What does an ID Card Appt mean?ID Card appointment
newgirl2, 2021",5,623,2021
"Interim Clearance Inquiry
newgirl2, 2021",2,637,2021
"Wrong PD = higher security clearance than neededCan my security clearance be downgraded?
LongDuckDong, 2021",1,405,2021
"Foreignn TravelForeign travel on SF86
Nuff_said, 2021",1,637,2021
"Hypothetical public trust question
Anonymous33, 2021",2,678,2021
"How far back do they go?
User_4487, 2021",3,1528,2021
"Submitted EQip
specializedRB, 2021",6,2361,2021
"Odds of successfully obtaining TS/SCI after previous suitability rejection?
plyablehume, 2021",1,934,2021
"Can you automically get a Secret if your spouse have a TS?
aznPHENOM, 2021",4,972,2021
"Top Secret to Public TrustTop Secret to Public Trust
fed890, 2021",0,601,2021
"DOS to DOD tier 5, requires new investigation?DOS to DOD reciprocity in clearances?
anton, 2021",2,614,2021
"Unsuitable for position
Thundermountain, 2021",4,1582,2021
"Using Alias to Make Online Purchases: Reportable on SF-86?
pantages, 2020",10,2855,2020
"Going from TS to TS/SCIwhat does it take?
anton, 2021",1,618,2021
"Is DCSA just blowing me off?
CWOBMF, 2021",2,1286,2021
"Interim Secret Clearance After Letter of WarningInter Got a DUI 2018 while in DOD, letter of warning/favorable Adjudication, Secret Clearance
AFDOD, 2021",7,1623,2021
"Chances of Obtaining Top Secret Clearance?Chances of Obtaining Top Secret Clearance?
ClearanceQuestion101, 2021",3,1527,2021
"Employer NoticePublic Trust
delta099, 2021",3,860,2021
"SF-86 and Prior Polygraph
private, 2021",1,827,2021
"Old FBI poly and fed employment now
private, 2021",2,1316,2021
"Can failing to get a TS affect my current job?
Echo5Lima, 2021",3,1330,2021
"Loss of Jurisdiction Issue
rrhoads17, 2021",0,456,2021
"Does public trust clearance speed up the security clearance process?
ask not, 2021",1,1141,2021
"Unusual Question
govygirl, 2021",5,1640,2021
"TS/SCI and adjudicatedClearance
Holly, 2021",1,1378,2021
"DHS offer rescinded- Due to time.it has taken.....
Wromantick, 2021",8,2204,2021
"Why is interim taking longer now?Interim secret has changed from two weeks to 30 days
SCQ, 2020",2,1147,2020
"Public Trust Clearance After Failed Polygraph
norcross99, 2015",6,3562,2015
"DOD Secret clearance & DOJ TS clearance at same time
FBItoHRT, 2020",3,1156,2020
"How long does it take for a secret clearance now?any update for the period taken for a secret clearance and interim?
SCQ, 2020",7,2663,2020
"So what exactly is OSINT?
HardRockGuru, 2020",1,878,2020
"Pending Secret Clearance CheckHave a dual citizen spouse - is this a problem?
billihockey275, 2020",3,970,2020
"Failed or pass on POLY . what are the outcomes
Trollge, 2020",13,7783,2020
"SF-86 ClarificationsCourt Order/Civil Order, Taxes, Foreign Contacts
Bigdataman, 2020",2,1521,2020
"Is OPM still responsible for all the investigations for clearance?OPM investigation for clearance
SCQ, 2020",1,945,2020
"Can a potential employer ask you to stop applying for other jobs during a background investigation?
CDrew, 2020",4,1377,2020
"Contracter vs Civilian Clearance
wp_employee, 2020",3,1028,2020
"SF-86 not completed on time.SF-86 not completed on time
fed890, 2020",1,841,2020
"back ground process and sf86 questions
baronzb, 2020",4,1899,2020
"Clearance with a prior federal arrest
engineerwitharecordish, 2020",10,2631,2020
"Self-Employment SF-86
ranger19, 2020",2,914,2020
"BI nomenclature and reprecussionsHow do tiers differ in scope and overlap with clearances?
baronzb, 2020",2,970,2020
"Question for those with knowledge of Public Trusts
CDrew, 2020",9,3457,2020
"Is it SF 85/86
Epo2205, 2020",3,1162,2020
"Certificate of InvestigationSigned copy of the COI was placed in my eOPF with no determination?
FedNole, 2020",7,3474,2020
"SF-86 Mental health medical release?
GreenRiver2167, 2020",4,2814,2020
"Those with clearances: how do you approach the ""what do you do for a living"" question?
americaexplain, 2020",4,2002,2020
"Leaving company due to lack of Clearance Crossover?
FedContractor91, 2020",4,1129,2020
"Global EntrySecurity Clearance
FinanAnalyst20, 2020",2,1166,2020
"SF-85 question missing informationSF-85 question missing information
Martinr4071, 2020",2,1428,2020
"When Will I knowNotification
gigito8, 2020",2,1846,2020
"Can not getting DHS Suitabilty EOD cause me to lose my Top Secret?
itallgood540, 2020",3,1096,2020
"T5 Clearance Completed in 90 days
awestover89, 2020",2,2332,2020
"Unable to get any kind of update on clearance
CWOBMF, 2020",3,1544,2020
"Unable to reach my security clearance investigators
dillinger, 2020",5,1973,2020
"Question on my background checkbackground check stuck in a limbo
user100, 2020",2,1578,2020
"New Hire / timeline during Covid-19
HenrySL, 2020",4,3419,2020
"Clearance process and COVID-19?
CDrew, 2020",7,3678,2020
"SF-87 Fingerprinting Question
dillinger, 2020",1,1142,2020
"Need some understanding/Clear guidance
GreenRiver2167, 2020",1,2538,2020
"How do I know if SCI request has really been put in for me?
itallgood540, 2020",4,1508,2020
"SCI and Coronavirus timeframe effects?
itallgood540, 2020",2,1450,2020
"Accepted 2 job offers requiring SCI
itallgood540, 2020",1,988,2020
"SF-86 How to handle remote/telework?
awestover89, 2020",3,2613,2020
"e-qip for TS Section 18 RelativesBiological parent & Steps post divorce
JustAnotherManInEsprit, 2020",2,1943,2020
"DHS EOD CISA time frame?
itallgood540, 2020",0,1010,2020
"Will staying in CIA appeals process prevent other agencies from starting clearance?Consulted two attorneys, who have opposing opinions/strategies
crossleaf, 2020",0,910,2020
"Question on SF-86 Section 26 Financial RecordWhat do you think is the intention of this question
JustAnotherManInEsprit, 2020",2,1793,2020
"Will a poly that’s in adjudication kill chances with another agency?Are poly’s in adjudication non-starts for other agencies?
incog2020, 2020",2,1327,2020
"Does the SCI expire before the TS if not read-in within two years?
cptp, 2020",3,1540,2020
"SSO question (clarified)
simba787, 2020",2,948,2020
"Interim Secret granted, no interview yet
awestover89, 2020",1,1274,2020
"Naturalized Citizen Clearance Concern
jaybsant, 2020",4,1706,2020
"Interim secret was not approvedWhat happens
blockaided, 2020",4,2067,2020
"Interview process: drug/alcohol usesecurity clearance process
SB_Palm, 2020",8,3586,2020
"Scheduled For Poly With a Different Agency
MaybeNSA, 2020",2,1175,2020
"Crossover IssuesCrossover from DoD to Government
FedContractor91, 2020",10,3825,2020
"Tier IV public trust question
861NU, 2020",2,2321,2020
"Clearance kicked back to Background a investigatorGood sign?
blockaided, 2020",2,1550,2020
"Critical Sensitive
LawOrder, 2020",14,3911,2020
"Investigation complete?So fast?
blockaided, 2020",8,2378,2020
"What do I do? Poly
Internbackground, 2020",5,2096,2020
"Foreign Spouse[+1] 
LawOrder, 2020",4,1489,2020
"Some advice from someone who use to do BI's
Dervrak, 2020",0,1798,2020
"Ham Radio
SurfrBum75, 2020",4,1428,2020
"Credit check pulls
Wromantick, 2020",1,1517,2020
"Credit pulledStatus
blockaided, 2020",4,1916,2020
"Denied interim
david244us, 2017-  1 , 2",25,12878,2017
"Adjudication timingHow long did it take to get your adjudication?
LawOrder, 2020",1,1356,2020
"SSO question
simba787, 2020",10,2723,2020
"Self reporting an affair?
FedEmp1800, 2020",13,7205,2020
"sf86 incriminating a reference?
SA953844, 2020",10,3550,2020
"preliminary fitness determination-DS jobCan re apply after 2 years have completed...
Mason__dog_chaser, 2020",5,1822,2020
"interim security clearance, longer time and no fingerprinting request is bad sign?
icmhjysh6, 2020",7,2159,2020
"Clearance LimboLeaving job while in clearance process[+1] 
delta099, 2020",5,1795,2020
"Freaking Out, But Valid QuestionsFinancial Obligation
theefeds101, 2020",2,2040,2020
"OIG Investigationany feedback would help
Ghost_gman, 2020",1,836,2020
"Lying on resumeSf-85p
delta099, 2020",0,1763,2020
"SCI questionWhat is the process for obtaining SCI. I have a TS but a job I wanted needed SCI
Dizzy_15, 2020",3,1307,2020
"OF-306 W/Delinquent Federal Overpayment?!Best Way to Address a Delinquent Federal Overpayment When Returning OF-306?
Bamboo_Pillows, 2020",4,1488,2020
"Lies told by someone else in SSBI
simba787, 2020",3,1968,2020
"TS investigation via DHS transfer to DoDTransferable?
mariali19, 2019",1,1284,2019
"SF86 Section 16 (People you know): What are the EXACT rules?
cjleighton, 2020",2,3719,2020
"Previous arrests no convictions, expungedWill I be okay?
blockaided, 2020",8,2078,2020
"Start date but investigation is not finishedPublic trust investigation
Dstar727, 2020",1,1044,2020
"Asked to be character witness for felony indictment
ArmyToNavy, 2020",4,1203,2020
"Failed FBI poly impact on current TS/SCI
southerngirl098, 2020",6,2616,2020
"Question / Perspecta / Keypoint
tplowmanaries, 2020",0,1851,2020
"What if one parent may have been a dual citizen?
Andy90, 2020",2,914,2020
"Job Offer rescinded due to spouse
Aegius, 2020",1,1655,2020
"OARM SuitabilitySuitability & Finances
MilBrat, 2020",2,921,2020
"Public Trust again
hopie, 2020",7,2550,2020
"Clearance denied by one agency, given by another?[+1] 
simba787, 2020",4,1973,2020
"New job while waiting for clearance to be issuedshould I tell FSO
rossmoyne, 2019",9,2978,2019
"Will a prescription for ADHD effect a future security clearance?
Inactive User, 2019",9,20468,2019
"Two different credit inquiries for employment check?
AVesquire, 2020",0,984,2020
"Received Discipline or Warning Question
blkbrd, 2016",12,8064,2016
"USCIS Security Clearance/EOD Confusion
Delarm, 2020",0,790,2020
"Any adjudicators on here?
simba787, 2020",2,1651,2020
"Employment issuesEmployment issues relating to sf-85p
delta099, 2020",0,859,2020
"""Sexting"" and clearance
simba787, 2020",4,2931,2020
"Which agency investigates paper filled questionnaires
Amr, 2020",1,756,2020
"Clearance process and resigningWhat happens if you resign during clearance process
delta099, 2020",1,954,2020
"Moderate risk, public trust
AVesquire, 2020",3,2384,2020
"resign in lieu of terminationwhat paper trail consitutes
baronzb, 2020",3,1366,2020
"TS Clearance - Title Mismatch (Organizational Title)
raafi, 2020",2,843,2020
"Found Unsuitablepotentially still be hired
Co1991, 2020",0,1320,2020
"equip sp85what is the component of the employment background check
baronzb, 2020",0,739,2020
"What Clearance Files Transfer Between Agencies?
51319, 2020",0,671,2020
"Responding to Statement of Reasons after 2 year process
n0thingtohide, 2015-  1 , 2",22,8770,2015
"Moderate Risk Public Trust CreditPast Credit Issues
PilotMacgruber, 2020",3,1335,2020
"Undergoing CBP clearance while on active secret clearance
hibrian1, 2020",4,3143,2020
"TO RetractedTO retracted but BI hasn't been completed
TLC86, 2020",2,1361,2020
"Sent SF 85P for a job requiring a secret clearance?
remmy, 2020",3,1328,2020
"Hire TimelineContractor Clearance
Holly, 2020",0,971,2020
"Clarification on questionDeclaration for Federal Employment Form
delta099, 2020",6,2244,2020
"OPM closed my top investigation 3/12
steppinthrax, 2020",1,1161,2020
"SF-85P Clearance IssueEmployment/Police Record
delta099, 2020",1,1269,2020
"Anchor baby by someone on my sf86Question about my consecuences
temporary1, 2019",3,1919,2019
"OF-306 Mistake
Superperson, 2020",0,772,2020
"Issues with Secret Clearance? - Arrests 12017.
tt122209, 2020",2,1498,2020
"Filling out SF-85 NACi
Unknown007, 2020",0,817,2020
"SF-86 for Public Trust?
861NU, 2019",1,1242,2019
"Mysterious SAC
Go saints, 2019",4,1432,2019
"SF-86 marathonBriefly describe your entire life...
Endless Summer, 2019",3,1610,2019
"Chapter 7 Bankruptcy/Charge off Discharged - Security Clearance
e1095t, 2019",2,1224,2019
"Chinese American Getting a Secret clearance?What are the chances?
e1095t, 2019",0,1512,2019
"How is it Possible
GWPDA, 2019",3,1608,2019
"Reciprocity to Adjudication
Lunch, 2019",1,1159,2019
"Tentative offer and promotion to another agency—what to expect with background investigation?Tentative offer BI
infinite_jest, 2019",2,1237,2019
"In progress investigation but position downgraded
dcraider, 2019",1,805,2019
"SF86-CDoes it mean I'm closer to the end?
country mouse, 2019",1,1134,2019
"Clearance Round Two
Luxhc, 2019",1,1010,2019
"SF85 Questions
FedJobSeeker2018, 2019",2,1250,2019
"NACLC for DoDNeed some help with clearing this up
GreenRiver2167, 2019",1,1214,2019
"Security Clearance ""Crossover""
Aegius, 2019",2,2325,2019
"Under DOD Investigation when offered another jobJob offer while under investigation
Mesh, 2019",2,1026,2019
"Eqip need helpQuestion on document from OPM
Woodytech21, 2019",2,1284,2019
"E-QIP Released, What Happens Next?E-QIP Released, What Happens Next?
valor1221, 2018",7,11335,2018
"NACI still valid for another position?
Shadowlyte, 2019",1,805,2019
"Tier 3 (Secret) Clearance and School History
MedStudent21, 2019",1,1394,2019
"Public trust background check specificsWhat is checked?
Anonymous33, 2019",1,1553,2019
"DoJ clearance not being put into database
Untitled, 2019",4,1187,2019
"DoD security clearance denial and going before a judge
tbluhp, 2019",0,1097,2019
"OF 306 and leaving a job with ""notice of unsatisfactory performance""
justafedemployee, 2019",2,1081,2019
"TSO and interview with investigator
Screener, 2019",2,1556,2019
"Clearance and foreign spouse
Aegius, 2019",2,1530,2019
"DWI within 7 year period on SF-86, drug use in past
SB_Palm, 2019",3,1699,2019
"Chances of obtaining any clearance w/ unique drug history
filesnail, 2019",8,3009,2019
"Investigation Product Changes (T4/T4R vs. BI/PRISuitability Investigations
p8482, 2019",0,1273,2019
"Of 306 timeline
ShaCo, 2019",4,1419,2019
"Fired history from companyDuring e-QIP
Bestway, 2019",5,2033,2019
"Speculating that I might be fired? Effect on clearance?
itallgood540, 2019",1,1081,2019
"Disciplinary Actions/Probation - SF85P
NJRA, 2019",2,1824,2019
"Ts/sci reinvestigation account charge off question
Clearj, 2019",1,1311,2019
"OCONUS Travel Between Jobs
CKLVet86, 2019",0,897,2019
"SF-86 or e-QIPHow long does it take to process
Mason__dog_chaser, 2019",3,1973,2019
"Alcohol Consumption on SF-86Alcohol consumption in college affect background investigation?
Apollo1990, 2017",4,4286,2017
"Post Adjudication.
Jfkae, 2019",1,1504,2019
"Everything else is done except BI. Anything I can do?Was told to expect to hear from a BI soon... that was 10wks ago.
BatDog123, 2019",5,2045,2019
"Did the investigators overdo their jobs?
ask not, 2019",4,2142,2019
"NAC/NACI/CACQuestions About the Process
Miss_Guided, 2019",1,1160,2019
"Which would look better?Which would look better for an MBI
cal4807, 2019",1,839,2019
"Interim Clearance Withdrawn
wutwut, 2018",5,3077,2018
"Failed FBI Polygraph in 2010, Am I Banned?
ScoobyDon't, 2019",1,1331,2019
"Secret Clearence for USCIS. What are my chances?Timeline added
Prospect, 2019",0,1209,2019
"Background Investigation Issue
rrhoads17, 2019",1,1697,2019
"Have a screwed myself? Forgot to add incident?
rob0225, 2019",4,2573,2019
"If Secret is denied can I attempt PT?
STC123, 2019",3,1707,2019
"Questions For SF86 For College Internship
HistoryWhiz1, 2019",1,1200,2019
"Public Trust Question - High Risk
jluce1, 2019",0,1177,2019
"Expected Time Frame for TS? Expedited?
rob0225, 2019",3,2489,2019
"Frequent travel proior to applying for security clearanceWondering if frequent foreign travel affects getting a Secret or TS clearance
Effay, 2019",8,3168,2019
"Current Employer Contacted Prior to Notice Given
Boblin, 2019",2,2034,2019
"The U.S. Intelligence Community Reject
George Maschke, 2019",1,1633,2019
"Approved for Hire
Approved, 2019",1,1359,2019
"Everything you need to know about the SORDetailed discussion of the Statement of Reasons[+1] 
someoldguy, 2019",0,1426,2019
"sf85p, sf85ps, did your investigator ask anything beyond 7 years
ask not, 2019",3,2776,2019
"SAP
ETDbay, 2019",1,1236,2019
"White House Security Process
GWPDA, 2019-  1 , 2",29,7478,2019
"SF86: Previous work firing and expunged cases info not 100% sure?
david2019, 2019",5,1842,2019
"BI for Public Trust QuestionQuestion about prior investigation
Tawuk93, 2019",2,1404,2019
"SF86 English first name
david2019, 2019",1,887,2019
"CBP polygraph unfavorablecan cbp polygraph be grounds for withdraw of offer from other agaency?
mhyato, 2019",5,4929,2019
"2 background checks same time?
david2019, 2019",0,807,2019
"FMLA claim with current jobWould this hinder my security clearance in any way?
druman, 2019",0,652,2019
"public trust job, I was asked to provide my roommate's name?
ask not, 2019",11,3896,2019
"Mental Illness + Bankruptcy Ch. 7
StdDev, 2019",4,1437,2019
"OF-306 Question for Dropped Ticket
scoobydoo1, 2019",0,827,2019
"Child SuppDelinquent?
Cosmo82, 2019",0,664,2019
"Email from clearance investigator
steppinthrax, 2019",3,2133,2019
"Security clearance for internship, does it rollover?
Cindy04, 2019",2,1238,2019
"What's the current wait time to get a secret security clearance?[+1] 
winterboy, 2018",9,8528,2018
"DoD Secret Clearance Holder Married to GC Holder
ben81, 2019",0,688,2019
"Prior Arrest a minorI had an arrest when I was a minotr
Justin Here For Advice, 2019",3,1365,2019
"Will security clearance become expired or inactive after leaving the job?
VAer, 2019",1,1528,2019
"Current Navy Employee transfering to DLA do I need to redo clearence
DODGUY, 2019",1,781,2019
"Investigator Question about e-qip, BI, and otherJim Hennessey Contractor CASDGuy BackGdInvestigator mnmit Zephyrus
Justin Here For Advice, 2019",1,1354,2019
"FS Poly with CI refresher, what to list?[+1] 
ndnboy, 2019",1,1385,2019
"Confused on the process - Civilian to TS clearance initiation to HireEmailing hiring manager for clarification
mudkicker, 2019",3,1370,2019
"Regular contact with overseas foreign nationals
LawOrder, 2019",2,1267,2019
"Have I mitigated? Worth the risk?Many issues; turned around, perfect last 13 years, am I ok?
twentyfeet, 2018",10,4119,2018
"Adopted by Step-father as young teen...how do I completed SF86
mudkicker, 2019",2,1336,2019
"Former DIA Employee's Security Clearance Revoked Over Polygraph Countermeasure AccusationDefense Office of Hearings and Appeals judges can be overruled by Defense Clearance Appeal Board
George Maschke, 2019",0,1039,2019
"DHS handbook for suitability requirementsDHS Security clearance information
HurryUpAndWait29, 2019",0,1651,2019
"DoD to DOI Reciprocity Clearance Transfer
Damaskwas, 2019",0,921,2019
"What happens to our fingerprints
steppinthrax, 2019",0,860,2019
"Changing agencies are fingerprints required
shoopshoop, 2019",0,563,2019
"Clearance Reciprocity for USCIS TO ICEDoes an interim clearance transfer?
curious-george, 2018",7,2248,2018
"Offer Rescinded: Clearance Taking Too Long: Applying for other positions requiring clearance?
Koyasan2009, 2019",1,2596,2019
"who actually “owns” the clearance.Confused about the clearance process and who actually “owns” the clearance.
rossmoyne, 2019",4,1259,2019
"Reciprocity of an Open Investigation?
Wil32, 2019",0,712,2019
"Timeframe for Public Trust Investigation (SF85-P)
PSIllinois05, 2018",5,5629,2018
"Periodic Reinvestigations
Shozen, 2019",0,785,2019
"Foreign Fiance
Aegius, 2019",2,1064,2019
"Letter of Reprimand/ANACI
calideb1972, 2015",8,3614,2015
"the eQIP from the investigator's viewHumor
BackGdInvestigator, 2017-  1 , 2",24,80852,2017
"Short period of self-employment overlapping employment
steppinthrax, 2019",6,1593,2019
"Never Getting an Answer
Vader99, 2019",9,3907,2019
"Company Changes Name
steppinthrax, 2019",1,662,2019
"Landlord
steppinthrax, 2019",1,1089,2019
"Remove Contact From SF 86
264tsys, 2019",1,774,2019
"Temp to Perm for 6 mos
steppinthrax, 2019",2,697,2019
"Providing more than 10-years on SF-86
steppinthrax, 2019",4,2035,2019
"SF85P with DoJ and existing credit issuesQuestion regarding my credit and qualification for SF-85P
ratedX5M, 2019",3,1617,2019
"SF85P interview with agentDetails
Barbara2525, 2019",4,2722,2019
"Concern over past clearanceDHS Clearance issue
jamesthefighter, 2019",1,890,2019
"Sexting and Poly?
264tsys, 2019",4,3047,2019
"Concerns regarding InvestigatorUnprofessionalism?
ProfIntel, 2019",4,1378,2019
"Questionnaire for Nonsenstive Positions error?
hopie, 2019",3,1087,2019
"Question about the SF 85 USPS
Iceblaze, 2019",1,1273,2019
"Periodic Re-investigation for Secret Clearance10 year clearance ending in April 2022
Bablu, 2019",6,1698,2019
"Email I received yesterday on my census jobNow awaiting eQip -- everything delayed by shutdown
Negress, 2019",0,2165,2019
"Confused- which phase am I at?
Flaming01, 2018",6,2507,2018
"SF-86CFilled out SF-86C, what is next?
Bablu, 2019",0,1248,2019
"Contractor w/ Secret... Process any faster?Contractor w/ Navy going to Navy Civilian requiring Secrect
DavesNotHere, 2019",1,866,2019
"I'm a Little Worried5 Year Old Credit Problem
bigmac58, 2019",3,1740,2019
"Timeline for Adjudication Department
winterboy, 2019",2,2191,2019
"Selected for permanent Census position awaiting background check (E-Qip)
Negress, 2019",1,2341,2019
"Public trust clearance for remote position
OldManJenkins75, 2019",5,1472,2019
"How much are SSBIs impacted with the shutdown?For those that use and do not use OPM.
Porgy, 2019",1,807,2019
"When do background investigators visit homes?
ask not, 2019",3,2300,2019
"DOE Interim ""L""Interim Clearance Question
mntbigsky, 2019",2,972,2019
"TS/SCI Marijuana useI'm questioning my ability to obtain such clearance
wpbono, 2019",10,6838,2019
"How long and how will I know?
AFcivilian, 2019",1,1452,2019
"Section 27 of e-qipWhat does Section 27 even mean???
strangeman, 2019",3,2193,2019
"Should one tell the investigator any information voluntarily?
ask not, 2019",3,1764,2019
"Security Clearance 1 and past employers
federaljob1, 2019",1,855,2019
"NSA Security ClearanceDFAS/NSA
Jonny Blaze, 2019",0,898,2019
"secret clearance fired from past employersecret clearance eligibility
hibrian1, 2019",6,5876,2019
"Drug use time mitigation: From date of sf-86 or interview?
ready2moveon, 2019",6,3211,2019
"Mental Health Portion on eQIP?
BatDog123, 2019",7,2375,2019
"Would a juvenile charge stop me from getting secret clearanceCurrent dod contractor who may be going federal
Timeout123, 2019",1,867,2019
"Gimme some truthBlah Blah Blah
PriorityPlacementisaCrock, 2019",1,1095,2019
"Does the government spy on new employee's computers and cell phones?
ask not, 2019",1,2349,2019
"DoD Poly and JPAS information
velcroTech, 2019",0,743,2019
"Where to hold meeting for subject interview?
Porgy, 2019",4,1338,2019
"ATF Public Trust Clearance
rrhoads17, 2019",1,957,2019
"another question about PRasked in my last thread but no one answered
J913, 2019",1,659,2019
"Changing jobs / periodic reinvestigationWill they wait?
J913, 2019",3,1127,2019
"Mismatching information on SF-86
questionguy12, 2019",1,1043,2019
"SF-86 and Tourist PassportClearance
QAforDoD, 2019",3,974,2019
"Denied Because Agency Thinks I Did Drugs--I Never HaveDenied Suitability Because of Answer Given During Polygraph
littlepatriot, 2019",5,3956,2019
"SF-86 and Foreign TravelIf I state foreign travel after having said I did not have any plans, is this viewed as dishonest?
ba283, 2019",4,3406,2019
"Security Clearance and Termination during probation period?TS Clearance and fired during probation period 12 month
Rodge45, 2019",1,1039,2019
"Forgot to mention new temp job in interview
Dawg007, 2019",3,1103,2019
"What type of Background Investigation Will I Undergo
BRODWALL, 2019",2,1169,2019
"Secret Clearance 1yr into chapter 13
Mailman808, 2019",7,2982,2019
"short length of time
hopie, 2019",2,856,2019
"Asks if I've ever been fired....
annanyc, 2018",6,2545,2018
"Last 10 years of your life or until your 18th birthday on SF86Confused about the wording on the SF86
poe, 2018",10,4234,2018
"Public Trust after Ch. 13/Potential Foreign Influence
Darksider415, 2019",2,968,2019
"MBI/NACI/NAC equivalent to Secret clearance?Have tentative offer from DOD
FedStew, 2019",2,1866,2019
"Secrect/SSBI To TS/SCISecurity Clearance
Khan, 2019",6,2780,2019
"Secret timeline for new hires?eQIP submitted 9 weeks ago, no FO yet
(aspiring) fed, esq., 2019",4,2269,2019
"Denied IC Job Because of Drug Use--Should I Bother Reapplying?I had my employment processing stopped because of one-time drug use
littlepatriot, 2019",1,1320,2019
"How does the government check your social media accounts?
ask not, 2019",1,2024,2019
